一目瞭然	一目了然
蒕	蒀
蒞	莅
蒭	𫇴
蒼	苍
蓀	荪
蓆	席
蓋	盖
蝕	蚀
製	制
覡	觋
誋	𫍪
誌	志
認	认
誑	诳
誒	诶
誘	诱
誚	诮
語	语
誡	诫
誣	诬
誤	误
誥	诰
誦	诵
誨	诲
說	说
誫	𫍨
説	说
賑	赈
賒	赊
賓	宾
賕	赇
趕	赶
趙	赵
輒	辄
輓	挽
輔	辅
輕	轻
遙	遥
遜	逊
遞	递
遠	远
遡	溯
鄟	𫑘
鉶	铏
鉷	𫟹
鉸	铰
鉺	铒
鉻	铬
鉽	𫟸
鉾	𫓴
鉿	铪
銀	银
銁	𫓲
銂	𫟻
銃	铳
銅	铜
銈	𫓯
銊	𫓰
銍	铚
銑	铣
銓	铨
銖	铢
銘	铭
銚	铫
銛	铦
銜	衔
銠	铑
銣	铷
銥	铱
銦	铟
銨	铵
銩	铥
銪	铕
銫	铯
銬	铐
銱	铞
䤤	𫟺
𨦫	䦀
鋮	铖
閡	阂
閣	阁
閤	合
閥	阀
閨	闺
閩	闽
際	际
韍	韨
頗	颇
領	领
颭	飐
颮	飑
颯	飒
颰	𩙥
颱	台
餃	饺
餄	饸
餅	饼
餉	饷
餌	饵
餎	饹
餏	饻
馹	驲
馼	𫘜
駁	驳
駃	𫘝
骯	肮
魟	𫚉
魢	鱾
鳲	鸤
鳳	凤
鳴	鸣
鳶	鸢
麼	么
麽	么
齊	齐
價	价
儀	仪
儁	俊
儂	侬
億	亿
儈	侩
儉	俭
儎	傤
㒓	𠉂
凙	𪞝
凜	凛
劇	剧
劉	刘
劊	刽
劌	刿
劍	剑
劏	㓥
勱	劢
厲	厉
噓	嘘
嘩	哗
嘪	𪡃
嘮	唠
嘯	啸
嘰	叽
嘳	𪡞
嘵	哓
嘸	呒
嘺	𪡀
嘽	啴
噁	恶
噚	㖊
噝	咝
噴	喷
㗲	𠵾
墜	坠
墮	堕
墰	坛
墲	𪢸
墳	坟
墶	垯
嫵	妩
嫺	娴
嫻	娴
嫿	婳
嬀	妫
嬃	媭
嬇	𫝬
嬈	娆
嬋	婵
嬌	娇
𡢃	㛠
審	审
寫	写
寬	宽
導	导
層	层
嶔	嵚
嶗	崂
嶘	𡺄
嶠	峤
嶢	峣
㠏	㟆
幝	𪩷
幟	帜
幩	𪩸
廚	厨
廝	厮
廟	庙
廠	厂
廡	庑
廢	废
廣	广
彈	弹
徵	徵
徹	彻
慤	悫
慫	怂
慮	虑
慶	庆
慼	戚
慾	欲
憂	忧
憐	怜
憒	愦
憚	惮
憢	𢙒
憤	愤
憫	悯
憮	怃
摯	挚
撈	捞
撊	𪭾
撏	挦
撐	撑
撓	挠
撝	㧑
撟	挢
撣	掸
撥	拨
撧	𪮖
撫	抚
撲	扑
撳	揿
㩋	𪮋
敵	敌
數	数
暫	暂
槤	梿
槧	椠
槨	椁
槫	𣏢
槮	椮
槳	桨
槶	椢
槼	椝
樁	桩
樂	乐
樅	枞
樑	梁
樓	楼
標	标
樞	枢
樠	𣗊
樢	㭤
樣	样
樤	𣔌
樧	榝
樫	㭴
歎	叹
歐	欧
殢	𣨼
殤	殇
毆	殴
毿	毵
氂	牦
漿	浆
潁	颍
潑	泼
潔	洁
潕	𣲘
潙	沩
潚	㴋
潛	潜
潣	𫞗
潤	润
潯	浔
潰	溃
潷	滗
潿	涠
澅	𣶩
澆	浇
澇	涝
澐	沄
澗	涧
𣾷	㳢
濆	𣸣
熚	𤇹
熡	𤋏
熱	热
熲	颎
犛	牦
獎	奖
瑩	莹
瑻	𪻲
瑽	𪻐
璉	琏
璊	𫞩
瘞	瘗
瘡	疮
皚	皑
皺	皱
盤	盘
確	确
碼	码
碽	䂵
磑	硙
禡	祃
穀	谷
窮	穷
窯	窑
範	范
篋	箧
𥯤	𫁳
糉	粽
緓	绬
緗	缃
緘	缄
緙	缂
線	线
緝	缉
緞	缎
緟	𫟆
締	缔
緡	缗
緣	缘
緤	𫄬
緦	缌
編	编
緩	缓
緬	缅
緮	𫄭
緯	纬
緰	𦈕
緱	缑
緲	缈
練	练
緶	缏
緷	𦈉
緸	𦈑
緹	缇
緻	致
緼	缊
䋻	䌾
䋼	𫄮
罵	骂
罷	罢
翫	玩
翬	翚
膕	腘
膚	肤
膞	䏝
膠	胶
膢	𦝼
蓧	𦰏
蓮	莲
蓯	苁
蓴	莼
蓽	荜
蔔	卜
蔘	参
蔞	蒌
蔣	蒋
蔥	葱
蔦	茑
蔭	荫
蔯	𫈟
蝟	猬
蝦	虾
蝨	虱
蝸	蜗
衚	胡
衛	卫
衝	冲
複	复
褌	裈
褘	袆
覥	觍
誕	诞
誰	谁
課	课
誳	𫍮
誴	𫟡
誶	谇
誷	𫍬
誹	诽
誺	𫍧
誼	谊
誾	訚
調	调
諂	谄
諄	谆
談	谈
諉	诿
請	请
諍	诤
諏	诹
諑	诼
諒	谅
論	论
諗	谂
𧩙	䜥
諛	谀
諸	诸
豎	竖
豬	猪
賙	赒
賚	赉
賜	赐
賝	𫎩
賞	赏
賟	𧹖
賠	赔
賡	赓
賢	贤
賣	卖
賤	贱
賦	赋
賧	赕
質	质
賫	赍
賬	账
䝼	䞍
賭	赌
踐	践
𨂐	𫏌
輖	𫐏
輗	𫐐
輛	辆
輜	辎
輝	辉
輞	辋
輟	辍
輢	𫐎
輥	辊
輦	辇
輨	𫐑
輩	辈
輪	轮
輬	辌
適	适
遱	𫐷
遷	迁
鄧	邓
鄭	郑
鄰	邻
鄲	郸
醃	腌
銳	锐
銶	𨱇
銷	销
銹	锈
銻	锑
銼	锉
鋁	铝
鋂	𰾄
鋃	锒
鋅	锌
鋇	钡
鋉	𨱈
鋌	铤
鋏	铗
鋒	锋
鋗	𫓶
鋙	铻
鋝	锊
鋟	锓
鋠	𫓵
鋣	铘
鋤	锄
鋥	锃
鋦	锔
鋨	锇
鋩	铓
鋪	铺
鋭	锐
鋯	锆
鋰	锂
鋱	铽
鋶	锍
𨧀	𬭊
𨧜	䦁
閫	阃
閬	阆
閭	闾
閱	阅
閲	阅
靚	靓
鞏	巩
頜	颌
頡	颉
頦	颏
頫	𫖯
颳	刮
餈	糍
養	养
餑	饽
餒	馁
餓	饿
餔	𫗦
餕	馂
餖	饾
餗	𫗧
餘	馀
駊	𫘟
駎	𩧨
駐	驻
駑	驽
駒	驹
駔	驵
駕	驾
駘	骀
駙	驸
駚	𩧫
駛	驶
駝	驼
駞	𫘞
駟	驷
髮	发
鬧	闹
魥	𩽹
魦	𫚌
魨	鲀
魯	鲁
魴	鲂
魵	𫚍
魷	鱿
䰾	鲃
鳷	𫛛
鳼	𪉃
鳽	𫛚
鳾	䴓
鴀	𫛜
鴃	𫛞
鴅	𫛝
鴆	鸩
鴇	鸨
鴉	鸦
䲰	𪉂
麨	𪎊
麩	麸
麪	麺
齒	齿
儐	傧
儔	俦
儕	侪
儘	尽
冪	幂
劑	剂
勳	勋
噞	𪡋
噠	哒
噥	哝
噦	哕
噯	嗳
噲	哙
噸	吨
噹	当
墻	墙
墾	垦
壇	坛
壈	𡒄
壋	垱
奮	奋
嬙	嫱
嬡	嫒
學	学
嶧	峄
嶨	峃
嶮	崄
廧	𪪞
廩	廪
憊	惫
憑	凭
憖	慭
憲	宪
憶	忆
憸	𪫺
憹	𢙐
懀	𢙓
懌	怿
懍	懔
懎	𢠁
戱	戯
戰	战
撻	挞
撾	挝
撿	捡
擁	拥
擄	掳
擇	择
擋	挡
擓	㧟
擔	担
據	据
曄	晔
曆	历
曇	昙
曉	晓
曊	𪰶
曏	向
樳	桪
樸	朴
樹	树
樺	桦
