一目瞭然	一目了然
樿	椫
橈	桡
橋	桥
機	机
橢	椭
橫	横
橯	𣓿
歷	历
殨	㱮
殫	殚
澠	渑
澤	泽
澦	滪
澬	𫞚
澮	浍
澱	淀
澾	㳠
濁	浊
濃	浓
濄	㳡
熾	炽
燁	烨
燈	灯
燉	炖
燒	烧
燙	烫
燜	焖
犞	𪺭
獨	独
獩	𤞃
獪	狯
獫	猃
璝	𪻺
璡	琎
璣	玑
𤩂	𫞧
甌	瓯
瘮	瘆
瘱	𪽷
瘲	疭
瘺	瘘
瘻	瘘
皟	𤾀
盧	卢
瞘	眍
瞜	䁖
瞞	瞒
䁪	𥇢
磚	砖
磠	硵
磣	碜
磧	碛
𥕥	𥐰
禦	御
穇	䅟
穌	稣
積	积
穎	颖
窵	窎
窶	窭
窺	窥
竱	𫁟
築	筑
篔	筼
篘	𥬠
篠	筿
篤	笃
篩	筛
簑	蓑
縈	萦
縉	缙
縊	缢
縋	缒
縍	𫄰
縎	𦈔
縐	绉
縑	缣
縕	缊
縗	缞
縛	缚
縝	缜
縞	缟
縟	缛
縣	县
縧	绦
罃	䓨
朥	𦛨
膩	腻
膹	𪱥
興	兴
舉	举
舘	馆
艙	舱
蔿	𫇭
蕁	荨
蕆	蒇
蕎	荞
蕒	荬
蕓	芸
蕕	莸
蕘	荛
蕝	𫈵
蕢	蒉
蕩	荡
蕪	芜
蕭	萧
蕳	𫈉
薌	芗
螄	蛳
螞	蚂
螢	萤
褲	裤
𧜵	䙊
覦	觎
親	亲
諜	谍
諝	谞
諞	谝
諡	谥
諢	诨
諣	𫍩
諤	谔
諥	𫍳
諦	谛
諧	谐
諫	谏
諭	谕
諮	谘
諯	𫍱
諰	𫍰
諱	讳
諳	谙
諴	𫍯
諶	谌
諷	讽
諺	谚
諼	谖
諾	诺
謀	谋
謁	谒
謂	谓
謔	谑
貓	猫
賰	䞐
賴	赖
賵	赗
赬	赪
踰	逾
踴	踊
輮	𫐓
輯	辑
輳	辏
輷	𫐒
輸	输
輻	辐
輼	辒
辦	办
遲	迟
選	选
遺	遗
遼	辽
鄳	𫑡
鄴	邺
鄶	郐
醖	酝
鋸	锯
鋼	钢
錀	𬬭
錁	锞
錂	𨱋
錄	录
錆	锖
錇	锫
錈	锩
錏	铔
錐	锥
錒	锕
錕	锟
錘	锤
錙	锱
錚	铮
錛	锛
錜	𫓻
錝	𫓽
錟	锬
錠	锭
錡	锜
錢	钱
錤	𫓹
錥	𫓾
錦	锦
錩	锠
錫	锡
錮	锢
錯	错
録	录
錳	锰
錶	表
錸	铼
錼	镎
錽	𫓸
鍀	锝
鍁	锨
鍃	锪
鍄	𨱉
鍅	钫
鍆	钔
鍈	锳
𨨏	𬭛
鍺	锗
閵	𫔴
閶	阊
閹	阉
閻	阎
閼	阏
閽	阍
閾	阈
閿	阌
闍	阇
隨	随
險	险
霑	沾
靜	静
靦	䩄
頤	颐
頭	头
頮	颒
頰	颊
頲	颋
頴	颕
頵	𫖳
頷	颔
頸	颈
頹	颓
頻	频
頽	颓
餚	肴
餛	馄
餜	馃
餞	饯
餡	馅
餦	𫗠
餧	𫗪
館	馆
駡	骂
駢	骈
駤	𫘠
駧	𩧲
駩	𩧴
駫	𫘡
駭	骇
駰	骃
駱	骆
𩣑	䯃
鬨	哄
魺	鲄
魽	𫠐
鮁	鲅
鮃	鲆
鮄	𫚒
鮅	𫚑
鮊	鲌
鮋	鲉
鮍	鲏
鮎	鲇
鮐	鲐
鮑	鲍
鮒	鲋
鮓	鲊
鮣	䲟
䱀	𫚐
𩶘	䲞
鴐	𫛤
鴒	鸰
鴔	𫛡
鴕	鸵
鴗	𫁡
鴛	鸳
鴝	鸲
鴞	鸮
鴟	鸱
鴣	鸪
鴥	𫛣
鴦	鸯
鴨	鸭
麬	𤿲
䴴	𪎋
龍	龙
龜	龟
償	偿
儣	𠆲
優	优
儲	储
勵	励
嚀	咛
嚇	吓
嚌	哜
嚐	尝
壎	埙
壓	压
壗	𡋤
嬣	𪥰
嬤	嬷
嬦	𫝩
嬪	嫔
嬰	婴
孻	𡥧
尷	尴
屨	屦
嶸	嵘
嶹	𫝵
嶺	岭
嶼	屿
嶽	岳
幫	帮
幬	帱
彌	弥
懇	恳
應	应
懞	蒙
懤	㤽
懨	恹
戲	戏
擊	击
擟	𪭧
擠	挤
擣	𢭏
擫	𢬍
擬	拟
擯	摈
擰	拧
擱	搁
㩜	㨫
𢷮	𢫊
斂	敛
斃	毙
曖	暧
檁	檩
檉	柽
檔	档
檜	桧
檟	槚
檢	检
檣	樯
櫛	栉
殭	僵
殮	殓
氈	毡
澩	泶
澀	涩
濕	湿
濘	泞
濚	溁
濛	蒙
濜	浕
濟	济
濤	涛
濧	㳔
濫	滥
濰	潍
濱	滨
營	营
燦	灿
燬	毁
燭	烛
燴	烩
燶	㶶
牆	墙
獮	狝
獰	狞
獱	㺍
獲	获
璦	瑷
璫	珰
璯	㻅
環	环
療	疗
癆	痨
癇	痫
癉	瘅
盨	𪾔
盪	荡
䀉	𥁢
瞤	𥆧
瞭	瞭
瞶	瞆
矯	矫
磯	矶
磽	硗
磾	䃅
礄	硚
禪	禅
篳	筚
篸	𥮾
簀	箦
簂	𫂆
簍	篓
糝	糁
糞	粪
縫	缝
縬	𦈚
縭	缡
縮	缩
縰	𫄳
縱	纵
縲	缧
縳	䌸
縴	纤
縵	缦
縶	絷
縷	缕
縸	𫄲
縹	缥
縺	𦈐
總	总
績	绩
繂	𫄴
繃	绷
繅	缫
繆	缪
繈	𫄶
耬	耧
聯	联
聰	聪
聲	声
聳	耸
膽	胆
膾	脍
膿	脓
臉	脸
臨	临
艱	艰
蕷	蓣
蕽	𫇽
薀	蕰
薆	𫉁
薈	荟
薊	蓟
薑	姜
薔	蔷
薘	荙
薟	莶
薦	荐
𦾟	𦶻
虧	亏
螮	䗖
螻	蝼
螿	螀
蟂	𫋇
蟄	蛰
蟈	蝈
蟎	螨
褳	裢
褸	褛
褻	亵
襀	𫌀
𧝞	䘛
覬	觊
覯	觏
謄	誊
謅	诌
謆	𫍸
謉	𫍷
謊	谎
謎	谜
謏	𫍲
謐	谧
謖	谡
謗	谤
謙	谦
謚	谥
講	讲
謝	谢
謠	谣
謡	谣
䜀	䜧
賺	赚
賻	赙
購	购
賽	赛
趨	趋
蹌	跄
輾	辗
輿	舆
轀	辒
轂	毂
轄	辖
轅	辕
邁	迈
還	还
醜	丑
醞	酝
醟	蒏
醣	糖
錨	锚
鍇	锴
鍉	𫔂
鍊	炼
鍋	锅
鍍	镀
鍒	𫔄
鍔	锷
鍘	铡
鍚	钖
鍛	锻
鍠	锽
鍤	锸
鍥	锲
鍩	锘
鍬	锹
鍮	𨱎
鍰	锾
鍵	键
鍶	锶
鍼	针
鍾	锺
鎂	镁
鎄	锿
鎇	镅
鎡	镃
鎯	𨱍
闃	阒
闆	板
闇	暗
闈	闱
闊	阔
闋	阕
闌	阑
隯	陦
隱	隐
隸	隶
雖	虽
鞝	绱
韓	韩
顂	𩓋
顃	𩖖
顅	𫖶
顆	颗
𩓥	𫖵
颶	飓
颷	𩙪
𩗴	𫗉
餪	𫗬
餫	𫗥
餬	糊
餭	𫗮
餱	糇
餳	饧
餵	喂
餷	馇
駶	𩧺
駸	骎
駻	𫘣
駿	骏
騁	骋
騂	骍
騃	𫘤
鮆	𫚖
鮚	鲒
鮜	鲘
鮝	鲞
鮞	鲕
鮟	𩽾
鮤	𫚓
鮦	鲖
鮪	鲔
鮫	鲛
鮭	鲑
鮮	鲜
鮯	𫚗
鮰	𫚔
鮳	鲓
鮺	鲝
鴜	𪉈
鴮	𫛦
鴯	鸸
鴰	鸹
鴲	𪉆
鴳	𫛩
鴴	鸻
鴷	䴕
鴻	鸿
鴽	𫛪
鴿	鸽
鵁	䴔
鵂	鸺
鵃	鸼
鵧	𫛨
麯	曲
點	点
黿	鼋
齋	斋
齔	龀
儭	𠋆
叢	丛
嚕	噜
嚙	啮
嚛	𪠸
㘉	𠰱
嚮	向
壘	垒
壙	圹
嬸	婶
嬻	𪥿
屩	𪨗
懟	怼
懣	懑
㦛	𢗓
擲	掷
擴	扩
擷	撷
擺	摆
擻	擞
擼	撸
擽	㧰
擾	扰
攄	摅
攆	撵
斷	断
檭	𣘴
檮	梼
檯	台
檳	槟
檵	𪲛
檸	柠
檻	槛
櫃	柜
櫅	𪲎
歟	欤
歸	归
殯	殡
濺	溅
濼	泺
濾	滤
濿	𪵱
瀂	澛
瀃	𣽷
瀅	滢
瀆	渎
瀇	㲿
瀉	泻
瀋	渖
瀏	浏
瀦	潴
燻	熏
燼	烬
燾	焘
爃	𫞡
獵	猎
獷	犷
璵	玙
璸	瑸
璼	𫞨
璾	𫞦
璿	璇
甕	瓮
癐	𤶊
癒	愈
癘	疠
癤	疖
瞼	睑
礆	硷
礎	础
礒	𥐟
禮	礼
穠	秾
穡	穑
穢	秽
竄	窜
竅	窍
簞	箪
簡	简
簢	𫂃
簣	篑
簫	箫
糧	粮
繏	𦈝
繐	𰬸
繒	缯
繓	𦈛
織	织
繕	缮
繚	缭
繞	绕
繟	𦈎
繡	绣
繢	缋
罈	坛
羵	𫅗
翹	翘
耮	耢
聵	聩
聶	聂
職	职
臍	脐
臏	膑
𦢈	𣍨
舊	旧
薩	萨
薳	䓕
薴	苧
薵	䓓
薹	薹
薺	荠
藉	藉
藍	蓝
藎	荩
蟘	𫋌
蟜	𫊸
蟣	虮
蟬	蝉
蟯	蛲
蟲	虫
蟳	𫊻
襇	裥
襉	裥
襏	袯
襓	𫋹
覆	覆
覲	觐
觴	觞
謨	谟
謫	谪
謬	谬
謭	谫
謯	𫍹
謱	𫍴
謳	讴
謸	𫍵
謹	谨
謾	谩
豐	丰
豵	𫎆
貗	𫎌
貙	䝙
賾	赜
贃	𧹗
贄	贽
贅	赘
蹔	𫏐
蹕	跸
蹟	迹
蹠	跖
蹣	蹒
蹤	踪
軀	躯
轆	辘
轇	𫐖
轉	转
轊	𫐕
邇	迩
鄺	邝
醫	医
醬	酱
釐	厘
鎈	𫟿
鎊	镑
鎌	镰
鎍	𫔅
鎔	镕
鎖	锁
鎘	镉
鎙	𫔈
鎚	锤
鎛	镈
鎝	𨱏
鎞	𫔇
鎢	钨
鎣	蓥
鎦	镏
鎧	铠
鎪	锼
鎬	镐
鎭	镇
鎮	镇
鎰	镒
鎲	镋
鎳	镍
鎵	镓
鎶	鿔
鎷	𨰾
鎸	镌
鎿	镎
䥄	𫠀
䥇	䦂
闐	阗
闑	𫔶
闒	阘
闓	闿
闔	阖
闕	阙
闖	闯
雙	双
雛	雏
雜	杂
雞	鸡
離	离
霢	霡
霣	𫕥
靝	靔
鞦	秋
韙	韪
韚	𫠅
題	题
額	额
顎	颚
顏	颜
顒	颙
顓	颛
顔	颜
颸	飔
颺	飏
餶	馉
餸	𩠌
餺	馎
餼	饩
餾	馏
餿	馊
饁	馌
騄	𫘧
騅	骓
騉	𫘥
騊	𫘦
騌	骔
騍	骒
騎	骑
騏	骐
𩣺	𩧼
鬆	松
鬩	阋
魎	魉
鮵	𫚛
鮶	鲪
鮸	𩾃
鮿	𫚚
鯀	鲧
鯁	鲠
鯄	𩾁
鯆	𫚙
鯇	鲩
鯉	鲤
鯊	鲨
鯒	鲬
鯽	鲫
鵊	𫛥
鵐	鹀
鵑	鹃
鵒	鹆
鵓	鹁
鵚	𪉍
鵜	鹈
鵝	鹅
鵟	𫛭
鵠	鹄
麲	𪎉
鼂	鼌
鼕	冬
齕	龁
龎	厐
勸	劝
厴	厣
嚥	咽
嚦	呖
嚧	𠰷
嚨	咙
𡃤	𪢐
壚	垆
壜	坛
壞	坏
壟	垄
壠	垅
壢	坜
寵	宠
廬	庐
龐	庞
徿	𪫌
懲	惩
懶	懒
懷	怀
攋	𪮶
攏	拢
曠	旷
櫓	橹
櫚	榈
櫝	椟
櫞	橼
櫟	栎
櫠	𪲮
櫥	橱
櫫	橥
櫧	槠
殰	㱩
氌	氇
瀕	濒
瀘	泸
瀝	沥
瀟	潇
瀠	潆
瀧	泷
瀨	濑
爄	𤇃
爇	𦶟
爍	烁
牘	牍
犢	犊
獸	兽
獺	獭
璽	玺
瓄	𪻨
瓊	琼
𤪺	㻘
疇	畴
癟	瘪
癡	痴
矇	蒙
矉	𪾸
礙	碍
禰	祢
禱	祷
穩	稳
穫	获
簹	筜
簽	签
簾	帘
𥵃	𥱔
繨	𫄤
繩	绳
繪	绘
繫	系
繬	𫄱
繭	茧
繮	缰
繯	缳
繰	缲
繳	缴
繶	𫄷
繷	𫄣
繸	䍁
繹	绎
羅	罗
羆	罴
羶	膻
翽	翙
臗	𣎑
臘	腊
艣	𫇛
艤	舣
藝	艺
藥	药
藪	薮
藭	䓖
藴	蕴
藷	𫉄
蠁	蚃
蟶	蛏
蟻	蚁
蠀	𧏗
蠅	蝇
蠆	虿
蠍	蝎
襖	袄
襗	𫋷
襘	𫋻
襝	裣
襠	裆
覈	核
覷	觑
觶	觯
譁	哗
譂	𫟠
譆	𫍻
證	证
譊	𫍢
譎	谲
譏	讥
譑	𫍤
譖	谮
識	识
譙	谯
譚	谭
譜	谱
豶	豮
贇	赟
贈	赠
贉	𫎫
贊	赞
贋	赝
蹳	𫏆
蹺	跷
蹻	𫏋
轍	辙
轎	轿
轐	𫐗
轔	辚
辭	辞
邊	边
醱	酦
鎩	铩
鏃	镞
鏆	𨱌
鏇	镟
鏈	链
鏉	𨱒
鏌	镆
鏍	镙
鏐	镠
鏑	镝
鏗	铿
鏘	锵
鏚	𬭭
鏜	镗
鏝	镘
鏞	镛
鏟	铲
鏡	镜
鏢	镖
鏤	镂
鏥	𫔊
鏦	𫓩
鏨	錾
鏰	镚
鏹	镪
䥑	鿏
關	关
隴	陇
難	难
霧	雾
韜	韬
韝	鞲
韞	韫
韻	韵
顗	𫖮
願	愿
顙	颡
顛	颠
類	类
颻	飖
颼	飕
颾	𩙫
飀	飗
饃	馍
饅	馒
饈	馐
饉	馑
騔	𩨀
騖	骛
騙	骗
騚	𩨊
騜	𫘩
騝	𩨃
騟	𩨈
騠	𫘨
騤	骙
騧	䯄
䮝	𩧰
鬍	胡
鯔	鲻
鯕	鲯
鯖	鲭
鯗	鲞
鯛	鲷
鯝	鲴
鯞	𫚡
鯡	鲱
鯢	鲵
鯤	鲲
鯧	鲳
鯨	鲸
鯪	鲮
鯫	鲰
鯬	𫚞
鯰	鲶
鯱	𩾇
鯴	鲺
鵡	鹉
鵩	𫛳
鵪	鹌
鵫	𫛱
鵬	鹏
鵮	鹐
鵯	鹎
鵰	雕
鵲	鹊
鵷	鹓
鵾	鹍
鶄	䴖
鶇	鸫
鶉	鹑
鶊	鹒
鶌	𫛵
䳢	𫛰
麗	丽
麳	𪎌
麴	曲
齗	龂
嚲	亸
嚳	喾
嚴	严
嚶	嘤
壣	𪤚
孃	娘
孄	𫝮
孆	𫝭
㜷	𡝠
孾	𪧀
寶	宝
巊	𪩎
懸	悬
懺	忏
攔	拦
攖	撄
攙	搀
斅	𢽾
斆	敩
曥	𣆐
曨	昽
朧	胧
櫨	栌
櫪	枥
櫬	榇
櫱	蘖
櫳	栊
瀰	㳽
瀲	潋
瀾	澜
爐	炉
爖	𤇭
𤑳	𤎻
犧	牺
𤜆	𪺪
獻	献
獼	猕
瓏	珑
癢	痒
癥	征
礦	矿
礪	砺
礫	砾
礬	矾
穭	穞
竇	窦
競	竞
籃	篮
籅	𥫣
籋	𥬞
籌	筹
糰	团
繻	𦈡
繼	继
繽	缤
繾	缱
繿	䍀
纁	𫄸
𦆲	𫟇
罌	罂
聹	聍
聻	𫆏
臚	胪
艦	舰
藶	苈
藹	蔼
藺	蔺
蘀	萚
蘄	蕲
蘆	芦
蘇	苏
蘊	蕴
蘋	𬞟
蘢	茏
蠐	蛴
蠑	蝾
蠔	蚝
蠙	𧏖
襤	褴
覹	𫌭
覺	觉
觸	触
譞	𫍽
譟	噪
譨	𫍦
譫	谵
譭	毁
譯	译
議	议
贍	赡
贏	赢
躂	跶
躉	趸
轗	𫐘
辮	辫
醶	𫑷
釋	释
鏵	铧
鏷	镤
鏺	䥽
鏽	锈
鏾	𫔌
鐃	铙
鐄	𨱑
鐇	𫔍
鐈	𫓱
鐋	铴
鐍	𫔎
鐎	𨱓
鐏	𨱔
鐐	镣
鐒	铹
鐓	镦
鐔	镡
鐘	钟
鐙	镫
鐝	镢
鐠	镨
鐥	䦅
鐦	锎
鐧	锏
鐨	镄
𨭆	𬭶
𨭎	𬭳
鐯	䦃
鐼	𫔁
闞	阚
闠	阓
闡	阐
韛	𫖔
韠	𫖒
響	响
顢	颟
顣	𫖹
飄	飘
饊	馓
饋	馈
饌	馔
饑	饥
饒	饶
騪	𩨄
騫	骞
騭	骘
騮	骝
騰	腾
騱	𫘬
騴	𫘫
騵	𫘪
騶	驺
騷	骚
騸	骟
𩥇	𩨍
𩥉	𩧱
鯶	𩽼
鯷	鳀
鯾	𫚣
鯿	鳊
鰁	鳈
鰂	鲗
鰃	鳂
鰆	䲠
鰈	鲽
鰉	鳇
鰋	𫚢
鰌	䲡
鰍	鳅
鰏	鲾
鰐	鳄
鰑	𫚊
鰒	鳆
鰓	鳃
鰕	𫚥
鰛	鳁
鰠	鳋
鶒	𫛶
鶓	鹋
鶖	鹙
鶗	𫛸
鶘	鹕
鶚	鹗
鶡	鹖
鶥	鹛
鶦	𫛷
鶩	鹜
鶪	䴗
鶿	鹚
鹹	咸
麵	麺
黨	党
齙	龅
齟	龃
齠	龆
齡	龄
齣	出
龑	䶮
儷	俪
儸	㑩
儺	傩
嚽	𪢕
囀	啭
囁	嗫
囂	嚣
囃	𠱞
𡅏	𠲥
孇	𪥫
屬	属
巋	岿
懼	惧
懾	慑
攛	撺
攜	携
攝	摄
斕	斓
櫸	榉
櫻	樱
欄	栏
欅	榉
殲	歼
灃	沣
灄	滠
灍	𫞝
爛	烂
瓔	璎
癧	疬
癩	癞
㿗	𤻊
矑	𪾦
矓	眬
礮	𪿫
礱	砻
竈	灶
籔	䉤
糲	粝
纇	颣
纈	缬
纊	纩
續	续
纍	累
纏	缠
蘚	藓
蘞	蔹
蘟	𦻕
蘭	兰
蠟	蜡
蠣	蛎
衊	蔑
襪	袜
襬	䙓
覼	𫌨
覽	览
譅	𰶎
譴	谴
護	护
譸	诪
譽	誉
𧭈	𫍾
贐	赆
贑	𫎬
贓	赃
贔	赑
躊	踌
躋	跻
躍	跃
躎	䟢
轟	轰
辯	辩
鐪	𫓺
鐫	镌
鐮	镰
鐲	镯
鐳	镭
鐵	铁
鐶	镮
鐸	铎
鐺	铛
鐽	𫟼
鐿	镱
鑀	𰾭
闢	辟
闤	阛
闥	闼
靧	𫖃
鞽	鞒
鞾	𫖇
顥	颢
顧	顾
飆	飙
飈	飚
饗	飨
饘	𫗴
騻	𫘭
騼	𫠋
騾	骡
驀	蓦
驁	骜
驂	骖
驃	骠
驄	骢
驅	驱
龭	𩨎
髏	髅
鬖	𩭹
鬹	鬶
鰜	鳒
鰟	鳑
鰣	鲥
鰤	𫚕
鰥	鳏
鰦	𫚤
鰧	䲢
鰨	鳎
鰩	鳐
鰫	𫚦
鰭	鳍
鰮	鳁
䱷	䲣
䱽	䲝
鶬	鸧
鶭	𫛯
鶯	莺
鶰	𫛫
鶲	鹟
鶴	鹤
鶹	鹠
鶺	鹡
鶻	鹘
鶼	鹣
鷀	鹚
鷁	鹢
鷂	鹞
鷄	鸡
鷅	𫛽
鷉	䴘
鷊	鹝
鹺	鹾
齎	赍
齜	龇
齦	龈
齧	啮
齩	𫜪
儻	傥
儼	俨
囅	冁
囈	呓
囉	啰
孋	㛤
孌	娈
孿	孪
巒	峦
巔	巅
巗	𪨷
彎	弯
彲	彨
攢	攒
攤	摊
欇	𪳍
權	权
欍	𣐤
歡	欢
灑	洒
灒	𪷽
灕	漓
灘	滩
玀	猡
瓕	𤦀
疊	叠
癬	癣
癭	瘿
癮	瘾
竊	窃
籙	箓
籛	篯
籜	箨
籟	籁
籠	笼
糴	籴
罎	坛
聽	听
聾	聋
臟	脏
𦧺	𫇘
艫	舻
蠦	𫊮
蠨	蟏
襯	衬
襰	𧝝
襲	袭
覿	觌
譾	谫
讀	读
讅	谉
贖	赎
贗	赝
躑	踯
躒	跞
躓	踬
躕	蹰
躚	跹
轠	𫐙
轡	辔
轢	轹
酇	酂
酈	郦
鑄	铸
鑉	𫠁
鑊	镬
鑌	镔
鑑	鉴
鑒	鉴
鑔	镲
霼	𪵣
霽	霁
韁	缰
韃	鞑
顫	颤
飋	𫗋
驊	骅
驋	𩧯
驌	骕
驍	骁
驏	骣
驓	𫘯
驕	骄
髒	脏
鬚	须
鰱	鲢
鰲	鳌
鰳	鳓
鰵	鳘
鰷	鲦
鰹	鲣
鰺	鲹
鰻	鳗
鰼	鳛
鰽	𫚧
鰾	鳔
鱂	鳉
鱄	𫚋
鱅	鳙
鱆	𫠒
鱇	𩾌
鱈	鳕
䲁	鳚
䲅	𫚜
鱉	鳖
鷐	𫜀
鷓	鹧
鷔	𪉑
鷖	鹥
鷗	鸥
鷙	鸷
鷚	鹨
鷩	𫜁
鼴	鼹
齪	龊
齬	龉
龓	𫜲
龔	龚
龕	龛
劚	㔉
囌	苏
㘚	㘎
巖	岩
巘	𪩘
戀	恋
攣	挛
攪	搅
曬	晒
欏	椤
欐	𪲔
欑	𪴙
欒	栾
毊	𪵑
灙	𣺼
𤓎	𤎺
玁	𤞤
瓚	瓒
癰	痈
籤	签
纓	缨
纔	才
纖	纤
臢	臜
蘺	蓠
蘿	萝
蠱	蛊
襴	襕
變	变
讋	詟
讌	䜩
讎	雠
贚	𫎦
躘	𨀁
轣	𫐆
轤	轳
邏	逻
邐	逦
鑕	锧
鑞	镴
鑠	铄
鑣	镳
鑥	镥
𨯅	䥿
靨	靥
顬	颥
顯	显
饜	餍
驗	验
驙	𫘰
驚	惊
驛	驿
體	体
鬠	𫘽
鱊	𫚪
鱒	鳟
鱔	鳝
鱖	鳜
鱗	鳞
鱘	鲟
鷣	𫜃
鷤	𫛴
鷥	鸶
鷦	鹪
鷨	𪉊
鷫	鹔
鷯	鹩
鷲	鹫
鷳	鹇
鷴	鹇
鷷	𫜄
鷸	鹬
黲	黪
黴	霉
齏	齑
齭	𫜭
齯	𫠜
齰	𫜬
囑	嘱
囒	𪢠
壩	坝
孎	𡠟
攬	揽
欓	𣗋
灝	灏
灡	㳕
瓛	𤩽
癱	瘫
癲	癫
籪	簖
䉶	𫁷
纗	𫄹
羈	羁
艷	艳
蠶	蚕
襵	𫌇
讒	谗
讓	让
讕	谰
讖	谶
贛	赣
躝	𨅬
釀	酿
鑪	𬬻
靂	雳
靄	霭
靆	叇
靈	灵
韆	千
顰	颦
驟	骤
髕	髌
鬢	鬓
魘	魇
鱝	鲼
鱟	鲎
鱠	鲙
鱢	𫚫
鱣	鳣
鱤	鳡
鱧	鳢
鷺	鹭
鷹	鹰
鷽	鸴
鷿	𬸯
鸂	㶉
鸇	鹯
鸊	䴙
䴉	鹮
鹼	碱
鹽	盐
齲	龋
齴	𫜮
齶	腭
齷	龌
壪	塆
廳	厅
斸	𣃁
欖	榄
欘	𣚚
灣	湾
爥	𪹳
籩	笾
籬	篱
籮	箩
糶	粜
纘	缵
纚	𫄥
臠	脔
虆	蔂
蠻	蛮
觀	观
贜	赃
躡	蹑
躥	蹿
釁	衅
鑭	镧
鑰	钥
鑱	镵
鑲	镶
𨰃	𫔉
靉	叆
顱	颅
饞	馋
饟	𫗵
髖	髋
鱨	鲿
鱭	鲚
鱮	𫚈
鱯	鳠
鸋	𫛢
鸌	鹱
鸏	鹲
黌	黉
鼉	鼍
圞	𪢮
彠	彟
灤	滦
矚	瞩
讚	赞
趲	趱
躦	躜
釃	酾
鑴	𫔔
鑷	镊
鑹	镩
韉	鞯
驢	驴
䮾	𩧪
驥	骥
鱲	𫚭
黶	黡
灧	滟
纜	缆
蠾	𧑏
讜	谠
讞	谳
躪	躏
軉	𨉗
釅	酽
鑼	锣
鑽	钻
鑾	銮
顳	颞
顴	颧
饠	𫗩
驤	骧
驦	骦
鬮	阄
鱷	鳄
鱸	鲈
鸕	鸬
鸗	𫛟
黷	黩
戇	戆
𢺳	𪮳
欞	棂
爧	𫞠
𤫩	㻏
豔	艳
鑿	凿
钁	䦆
钂	镋
驨	𫘱
䯀	䯅
鸘	鹴
鸚	鹦
驪	骊
鬱	郁
鸛	鹳
麷	𫜑
䖅	𫟑
饢	馕
驫	骉
鱺	鲡
鸝	鹂
鸞	鸾
灩	滟
籲	吁
齾	𫜰
㑮	𫝈
㑯	㑔
㑶	㐹
𠏢	𠉗
𠐊	𫝋
㓄	𪠟
𠗣	㓆
㓨	刾
𠞆	𠛆
㔋	𪟎
𪟖	𠛾
𠠎	𠚳
𠬙	𪠡
㖮	𪠵
𠽃	𪠺
㗿	𪡛
𠿕	𪜎
𡂡	𪢒
𡃄	𪡺
𡃕	𠴛
㘓	𪢌
㘔	𫬐
𡄔	𠴢
𡄣	𠵸
𡅯	𪢖
𡑭	𡋗
𡓁	𪤄
𡓾	𡋀
𡔖	𡍣
㜏	㛣
㜐	𫝧
𡟫	𫝪
㜗	𡞋
𡮉	𡭜
𡮣	𡭬
㞞	𪨊
𡳳	𡳃
𡸗	𪨩
𡹬	𪨹
㟺	𪩇
𡽗	𡸃
𡾱	㟜
𡿖	𪩛
㢗	𪪑
㢝	𢋈
𢍰	𪪴
㥮	㤘
㦎	𢛯
𢠼	𢙑
㦞	𪫷
𢣐	𪬚
𢣚	𢘝
𢣭	𢘞
𢤩	𪫡
𢤱	𢘙
𢤿	𪬯
𢯷	𪭝
㨻	𪮃
𢶒	𪭯
𢶫	𢫞
㩳	㧐
𢹿	𢬦
㩵	擜
𣈶	暅
𠁞	𠀾
𣋋	𣈣
𣍐	𫧃
𣙎	㭣
㯤	𣘐
𣜬	𪳗
𣝕	𣘷
𣞻	𣘓
𣠩	𣞎
𣠲	𣑶
㰙	𣗙
𣯩	𣯣
𣯴	𣭤
𣯶	毶
㵗	𣳆
𣽏	𪶮
𪷓	𣶭
𣿉	𣶫
㵾	𪷍
𤁣	𣺽
㶆	𫞛
𤄷	𪶒
𤅶	𣷷
㷿	𤈷
㸇	𤎺
𤑹	𪹀
𤒎	𤊀
𤒻	𪹹
𤓌	𪹠
𤓩	𤊰
𤘀	𪺣
𤛮	𤙯
𤛱	𫞢
㹽	𫞣
𤠮	𪺸
㺏	𤠋
㺜	𪺻
𤢟	𤝢
𤢻	𢢐
㻶	𪼋
𤬅	𪼴
𤳷	𪽝
𤳸	𤳄
𤷃	𪽭
𤸫	𤶧
𤺔	𪽴
㿖	𪽮
㿧	𤽯
𥊝	𥅿
𥌃	𥅘
䁻	䀥
䂎	𥎝
𥏝	𪿊
𥖅	𥐯
䃮	鿎
𥖲	𪿞
𥗇	𪿵
𥜐	𫀓
𥜰	𫀌
䅐	𫀨
𥞵	𥞦
䅳	𫀬
𥢢	䅪
𥢶	𫞷
𥢷	𫀮
䆉	𫁂
𥨐	𥧂
𥪂	𥩺
䉑	𫁲
䉙	𥬀
𥴨	𫂖
𥴼	𫁺
𥵊	𥭉
䉬	𫂈
𥶽	𫁱
䉲	𥮜
𥸠	𥮋
𥻦	𫂿
𥼽	𥹥
䊭	𥺅
𥽖	𥺇
䊺	𫄚
䋃	𫄜
𥾯	𫄝
䋔	𫄞
𥿊	𦈈
䋙	䌺
䋚	䌻
䋦	𫄩
𦀖	𫄦
䋹	䌿
䋿	𦈓
𦂅	𦈒
䌈	𦈖
䌋	𦈘
𦃄	𦈗
𦃩	𫄯
䌖	𦈜
𦅇	𫄪
𦅈	𫄵
䌝	𦈟
䌟	𦈞
䌥	𦈠
䌰	𦈙
